PROMODS_PO,STM
BITNJE - JEREKA,239
JEZERO - ZLATOROG,240
JAVORNIK - GORJE,241
SP. JEZERSKO - PREDDVOR,242
KR(PRIMSKOVO - LABORE),244
RAKEK - CERKNICA,245
CERKNICA - BL.POLICA,246
BL.POLICA - SODRAŽICA,247
SODRAŽICA - ŽLEBIČ,248
PREDDVOR - KR(PRIMSKOVO),249
LESCE - K.GORICA-LIPNICA,250
LIPNICA - KROPA,251
TRI HIŠE - PRIKLJ. VOGRSKO,252
BOH.BISTRICA - VRESJE,253
LIPNICA - OVSIŠE,254
BOH.BISTRICA - JEZERO,255
ŽIROVNICA - BEGUNJE,256
BEGUNJE - BISTRICA(TRŽIČ),257
GOLNIK - KOKRICA,258
MENGEŠ - DUPLICA,259
LJ(ŠMARTNO) - VODICE,260
VODICE - SP.BRNIK,261
ŠEMPETER - VOLČJA DRAGA,262
GORENJA VAS - LUČINE,263
HORJUL - VRHNIKA,264
VRHNIKA - PODPEČ,265
PODPEČ - IG,266
AC BREZOVICA - BREZOVICA,267
STARI LOG - DVOR,268
ŽUŽEMBERK - PLUSKA,269
MIRNA - MOKRONOG,270
ČRNOLICA - LESIČNO,271
CIKAVA  -  GROSUPLJE,273
LESIČNO - GOLOBINJEK,274
GROSUPLJE - MLAČEVO,275
MLAČEVO - PLEŠIVICA,276
KRKA - ŽUŽEMBERK,277
ŽUŽEMBERK - DVOR,278
SOTESKA - ČRMOŠNJICE,279
RUČETNA VAS - ČRNOMELJ,280
ČRNOMELJ - DOLENJCI,281
LJUBEŽ V LAZIH - MORAVČE,282
MORAVČE - ČATEŽ,283
ŠMARTNO PRI LITIJI - M.KOSTREVICA,284
SOPOTA - RADEČE,285
RADEČE - BREG,286
LISCA - JURKLOŠTER,287
ŠMARJE - SAP - CIKAVA,288
IVANČNA GORICA - GRM,289
ZBURE - ŠKOCJAN,291
LESIČNO - ŠONOVO,292
DOBRUŠKA V. - ŠENTJERNEJ,293
STRAŽA - NM DRSKA,294
RATEŽ - ŠENTJERNEJ,295
KOSTANJEVICA - KRIŽAJ,296
KRIŽAJ - ČATEŽ OB SAVI,297
VAVTA VAS - DOL.TOPLICE,298
BREZOVICA - DOBLIČE,299
DOBLIČE - KANIŽARICA,300
MEJA RH - KRMAČINA - DRAŠIČI,301
PODZEMELJ - ČRNOMELJ,302
KANIŽARICA - VINICA,303
KRTINA - MORAVČE,304
TRATA - IZLAKE,305
IZLAKE - ZAGORJE,306
ZAGORJE - BEVŠKO,307
ČRNOMELJ - (KOČEVJE) - KANIŽARICA,308
TRBOVLJE - BOBEN - HRASTNIK,309
HRASTNIK - ŠMARJETA,310
RAČE - KUNGOTA-KIDRIČEVO,311
RAČE - KUNGOTA-KIDRIČEVO,311
LOKE - LEDINŠČICA,312
DEŽNO - ČRNOLICA,313
TROJANE - IZLAKE,314
GORNJI DOLIČ - VELENJE,315
DRAMLJE - DOLE,316
ŽIČE - MLAČE,317
POLJČANE - MAJŠPERK,318
RAVNE - KOTLJE,319
DOBRNA - ČRNOVA,320
VIŠNJA VAS - STRMEC,321
POLJANA - MEŽICA,323
ŠENTVID - ŠOŠTANJ,324
LJ(ŠENTVID - ŠMARTNO),325
VELENJE - POLZELA,326
PESEK - ROGLA,327
RUTA - LOVRENC,328
SL.GRADEC - LUŽNIK,329
SL.KONJICE - OPLOTNICA,330
OPLOTNICA - LOŽNICA,331
LUKOVICA  -  ŽELODNIK,332
ŠONOVO - PODSREDA,333
VEŠČICA - GEDEROVCI,334
PODSREDA - BISTRICA,335
ROGATEC - MAJŠPERK,336
ROGATEC - MP DOBOVEC,337
GOMILCI - SENARSKA,338
LENART - KRIŽ. SV.ANA,339
BORL - MP ZAVRČ,340
SPUHLJA - BORL,341
MARIBOR - DVORJANE,342
MARIBOR - DVORJANE,342
GRABONOŠ - RADENCI,343
CANKOVA - VEČESLAVCI,344
MURSKA SOBOTA - VEŠČICA,345
RENKOVCI - BELTINCI,346
DOKLEŽOVJE - KRIŽEVCI,347
DOKLEŽOVJE - KRIŽEVCI,347
STRMEC - DOBRNA,348
SV. JURIJ OB ŠČAVNICI - CERKVENJAK,349
ŠENTILJ - TRATE,350
RADENCI - VUČJA VAS,352
KRIŽEVCI - LJUTOMER,353
LJUTOMER - PAVLOVCI,354
ORMOŽ - SREDIŠČE OB DRAVI,355
MARTINJE -  KUZMA,356
KRIŽEVCI - ŽIHLAVA,357
DOBROVNIK - RONDO DOLGA VAS,358
RENKOVCI - ČRENŠOVCI,359
ČRENŠOVCI - RAZKRIŽJE,360
TRATE - GORNJA RADGONA,361
DUPLICA - KAMNIK,362
GABERNIK - ROGOZNICA(PTUJ),363
SENOVO - BRESTANICA,364
