STM,STM_lon,STM_lat,PROMODS_PO
263.0,14.1594768993369,46.0868823118081,GORENJA VAS - LUČINE
264.0,14.3021592970147,46.0199166326127,HORJUL - VRHNIKA
265.0,14.3642894782628,45.9254052834895,VRHNIKA - PODPEČ
266.0,14.4389009188806,45.9718905958422,PODPEČ - IG
267.0,14.4244930455593,46.0250229066455,AC BREZOVICA - BREZOVICA
268.0,14.9289691508697,45.7605981362684,STARI LOG - DVOR
269.0,14.957748721221,45.8549833289079,ŽUŽEMBERK - PLUSKA
270.0,15.1135999428295,45.9600902312929,MIRNA - MOKRONOG
271.0,15.4430240847651,46.1496457344061,ČRNOLICA - LESIČNO
273.0,14.6365110709837,45.9647865214866,CIKAVA  -  GROSUPLJE
274.0,15.5205709759325,46.1033311036379,LESIČNO - GOLOBINJEK
275.0,14.6687020535389,45.9431721038869,GROSUPLJE - MLAČEVO
276.0,14.6789796606683,45.938981277638,MLAČEVO - PLEŠIVICA
277.0,14.8357257213531,45.8590771889148,KRKA - ŽUŽEMBERK
278.0,14.9575184608995,45.8174166291176,ŽUŽEMBERK - DVOR
279.0,15.0431722191996,45.7389876110541,SOTESKA - ČRMOŠNJICE
280.0,15.179698551365,45.5891030047291,RUČETNA VAS - ČRNOMELJ
281.0,15.1983146754562,45.565829016911,ČRNOMELJ - DOLENJCI
282.0,14.966141100894,45.9960902808815,LJUBEŽ V LAZIH - MORAVČE
283.0,14.9680671507132,45.9675768944818,MORAVČE - ČATEŽ
284.0,14.8601333129105,46.0396683979339,ŠMARTNO PRI LITIJI - M.KOSTREVICA
285.0,15.1316269587536,46.0635173089969,SOPOTA - RADEČE
286.0,15.2074289693401,46.0584098911079,RADEČE - BREG
287.0,15.3340915432587,46.0931084022759,LISCA - JURKLOŠTER
288.0,14.6255813616768,45.9707439519598,ŠMARJE - SAP - CIKAVA
289.0,14.822735788596,45.9437731412632,IVANČNA GORICA - GRM
291.0,15.288482556238,45.9087798404457,ZBURE - ŠKOCJAN
292.0,15.5417357012405,46.0839235450503,LESIČNO - ŠONOVO
293.0,15.3307967974596,45.8738695515531,DOBRUŠKA V. - ŠENTJERNEJ
294.0,15.0991151797354,45.7844102766548,STRAŽA - NM DRSKA
295.0,15.27524689416,45.8340308461351,RATEŽ - ŠENTJERNEJ
296.0,15.4502189155426,45.8672058256912,KOSTANJEVICA - KRIŽAJ
297.0,15.5320060946103,45.8859555382217,KRIŽAJ - ČATEŽ OB SAVI
298.0,15.0569961328843,45.7603788666972,VAVTA VAS - DOL.TOPLICE
299.0,15.040767369654,45.5508881834281,BREZOVICA - DOBLIČE
300.0,15.1638948079009,45.5625277562275,DOBLIČE - KANIŽARICA
301.0,15.3675732820076,45.6674391234679,MEJA RH - KRMAČINA - DRAŠIČI
302.0,15.2588627358451,45.610887724811,PODZEMELJ - ČRNOMELJ
303.0,15.1748803580351,45.5198945790741,KANIŽARICA - VINICA
304.0,14.6631463594679,46.1457924704555,KRTINA - MORAVČE
305.0,14.839711509245,46.1329380316451,TRATA - IZLAKE
306.0,14.9575009343662,46.1421099837573,IZLAKE - ZAGORJE
307.0,15.0271007053723,46.1425453563024,ZAGORJE - BEVŠKO
308.0,15.1711691045232,45.5619140703699,ČRNOMELJ - (KOČEVJE) - KANIŽARICA
309.0,15.0701962974154,46.1660996971946,TRBOVLJE - BOBEN - HRASTNIK
310.0,15.1319406206475,46.1397443788591,HRASTNIK - ŠMARJETA
311.0,15.718540395924,46.4429925206373,RAČE - KUNGOTA-KIDRIČEVO
312.0,15.4778605735944,46.1093577988032,LOKE - LEDINŠČICA
313.0,15.3886413110944,46.1371400086743,DEŽNO - ČRNOLICA
314.0,14.9231627594981,46.1596647579486,TROJANE - IZLAKE
