key_0,STM,Month,S1: Motor-MO,S2: Motor-MO,id_stevca,Lat,Lon,cesta,ime_smeri
111,111,1,0.0721326164874552,0.07258064516129033,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,2,0.16519607843137254,0.12450980392156863,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,3,1.125448028673835,1.007168458781362,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,4,2.3893518518518517,2.2546296296296298,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,5,3.963709677419355,3.5766129032258065,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,6,4.981944444444444,4.794444444444444,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,7,4.873655913978495,4.743727598566308,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,8,4.923387096774194,4.617831541218638,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,9,2.864351851851852,2.774537037037037,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,10,1.3449820788530467,1.1984767025089607,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,11,0.3685185185185185,0.33055555555555555,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
111,111,12,0.0913978494623656,0.10797491039426524,111.0,46.1952971797637,14.3276756002039,R1-210,Kranj - Škofja loka
112,112,1,0.019265232974910396,0.02867383512544803,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,2,0.07254901960784314,0.07156862745098039,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,3,0.7716244725738397,0.7821729957805907,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,4,2.1104166666666666,2.079861111111111,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
112,112,5,3.301767676767677,3.548611111111111,112.0,46.13106558703061,14.2279654195397,R1-210,Gorenja vas - Škofja Loka
